,district,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,number_of_building,number_of_carpark,Address,Agriculture,Other_x,Others,Quotient,work,Ground floor,Lifting machinery,Lifting plane,Not Applicable_x,Other_y,Ramp machinery,Ramp plane,Tower parking,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_y,Prestressed concrete construction,Reinforced concrete construction,See license,See other registration items,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Building,Garage,Land,Premises (land + building),Premises (land + building) + parking space
914,Songshan District,3.37,69.0,34.36,1,1,1,1,0,7950000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
915,Songshan District,0.0,88.0,85.32,3,2,2,1,1,8000000.0,0.0,0,2019,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
916,Beitou,17.0,66.0,86.45,2,2,1,1,0,9360000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
917,Beitou,44.36,108.0,251.33,3,2,2,1,0,47500000.0,42.7,3000000,2019,7,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
918,Beitou,9.63,97.0,141.76,2,2,1,1,1,25280000.0,55.26,0,2019,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
919,shihlin,14.83,105.0,125.36,2,1,1,1,1,19000000.0,27.83,1900000,2019,10,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
920,shihlin,8.04,0.0,0.0,0,0,0,1,0,187844.0,0.0,0,2019,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
921,shihlin,51.11,77.0,162.63,3,1,2,1,0,18700000.0,0.0,0,2019,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
922,Daan District,33.83,96.0,134.38,2,2,2,1,1,37500000.0,25.02,0,2019,10,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
923,Daan District,15.66,91.0,55.92,1,0,1,1,0,16000000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
924,Daan District,5.05,0.0,40.6,0,0,0,1,1,3600000.0,40.6,3600000,2019,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
925,Daan District,10.3,97.0,51.61,1,1,1,1,1,18730000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
926,Daan District,74.72,0.0,0.0,0,0,0,1,0,21500000.0,0.0,0,2019,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
927,Daan District,8.35,96.0,42.81,1,1,1,1,1,15000000.0,0.0,0,2019,11,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
928,Daan District,34.35,108.0,165.12,3,2,2,1,0,47200000.0,26.06,3000000,2019,10,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
929,Daan District,33.63,108.0,162.22,3,2,2,1,0,46383554.0,26.06,3000000,2019,10,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
930,Wenshan District,20.1,88.0,80.30000000000003,2,2,1,1,1,12870000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
931,Wenshan District,2.04,98.0,23.81,1,1,1,1,1,4250000.0,0.0,0,2019,8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
932,Zhongzheng District,28.76,79.0,256.86,5,1,4,1,1,72200000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
933,Wanhua District,33.67,0.0,75.02,0,0,0,0,0,9500000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
934,Zhongshan Area,40.0,63.0,111.3,3,2,2,1,0,20180000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
935,Neihu District,29.55,67.0,113.57,3,2,2,1,0,19100000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
936,Zhongshan Area,5.92,97.0,63.9,1,1,1,1,1,12500000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
937,Daan District,1.51,0.0,0.0,0,0,0,1,0,150931.0,0.0,0,2019,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
938,Daan District,10.4,0.0,40.78,1,1,1,1,0,9700000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
939,shihlin,25.41,77.0,120.03,3,2,2,1,1,24880000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
940,shihlin,26.06,69.0,101.59,3,2,2,1,0,10200000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
941,shihlin,25.72,68.0,91.99,3,2,2,1,0,19100000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
942,Nangang District,61.56,99.0,183.19,3,2,2,1,1,19180000.0,43.95,2000000,2019,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
943,Songshan District,28.2,69.68181818181819,95.59,4,3,2,1,0,17800000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
944,Songshan District,35.0,59.0,95.43,3,2,2,1,0,17800000.0,0.0,0,2019,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
945,Xinyi District,32.6,73.25,81.35,3,2,2,1,0,14800000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
946,Nangang District,34.8,102.0,251.65,4,2,2,1,1,34500000.0,51.95,3000000,2019,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
947,shihlin,35.01,69.0,91.65,3,2,2,1,0,8400000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
948,Beitou,7.64,0.0,0.0,0,0,0,1,0,244693.0,0.0,0,2019,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
949,Beitou,44.47,84.0,73.99,2,2,1,1,1,8000000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
950,Daan District,17.27,105.0,235.36,4,2,2,1,1,67689888.0,0.0,0,2019,11,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
951,Zhongshan Area,5.24,64.0,44.51,1,1,1,1,1,6700000.0,0.0,0,2019,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
952,Zhongshan Area,0.69,0.0,0.0,0,0,0,1,0,35372.0,0.0,0,2019,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
953,Neihu District,52.28,97.0,278.39,4,2,2,1,1,59580000.0,23.3,4500000,2019,10,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
954,Neihu District,28.89,73.0,109.36,6,0,6,1,0,16200000.0,0.0,0,2019,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
955,Neihu District,9.18,92.0,67.86,0,0,0,1,1,4500000.0,0.0,4500000,2019,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
956,Zhongshan Area,27.2,68.0,98.74,3,2,1,1,0,9300000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
957,Zhongshan Area,0.75,70.0,2.54,3,2,2,1,0,225000.0,0.0,0,2019,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
958,Datong District,9.92,86.0,104.83,3,2,1,1,1,15750000.0,13.56,1800000,2019,9,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
959,Wanhua District,3.47,75.0,25.99,0,0,0,1,1,1810000.0,0.0,1810000,2019,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
960,Wanhua District,38.02,101.0,176.04,3,2,2,1,1,25500000.0,0.0,0,2019,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
961,Datong District,15.56,67.0,50.03,3,1,1,1,0,9380000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
962,Wenshan District,3.71,85.0,45.39,1,1,1,1,1,5780000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
963,Wenshan District,593.0,0.0,0.0,0,0,0,1,0,1300000.0,0.0,0,2019,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
964,Wenshan District,31.0,102.0,217.3,3,2,2,1,1,25660000.0,54.28,2000000,2019,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
965,Wenshan District,20.1,88.0,81.05,2,2,1,1,1,12800000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
966,Daan District,37.84,103.0,604.55,1,2,5,1,1,275000000.0,92.07,10000000,2019,10,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
967,Daan District,42.75,58.92857142857143,101.13,4,2,2,1,0,30000000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
968,Daan District,4.45,0.0,32.57,0,0,0,0,0,6000000.0,0.0,0,2019,11,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
969,Daan District,18.79,0.0,0.0,0,0,0,1,0,598747.0,0.0,0,2019,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
970,Daan District,25.42,82.1,146.25,4,2,2,1,0,30690000.0,0.0,0,2019,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
971,Daan District,24.2,75.0,124.67,3,2,2,1,1,26000000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
972,Daan District,6.52,77.0,82.76,3,2,1,1,1,20020000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
973,Daan District,48.25,54.0,114.97,4,2,2,1,0,26580000.0,0.0,0,2019,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
974,shihlin,21.21,77.0,129.13,3,2,2,1,1,21000000.0,0.0,0,2019,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
975,shihlin,16.78,97.0,92.54,2,1,1,1,1,25080000.0,0.0,0,2019,11,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
976,Beitou,136.7,104.0,294.28,3,2,2,1,1,38660000.0,59.0,0,2019,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
977,Beitou,21.63,108.0,114.6,2,2,1,1,0,14080000.0,32.85,1900000,2019,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
978,shihlin,62.6,0.0,0.0,0,0,0,1,0,2835000.0,0.0,0,2019,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
979,Beitou,24.57,87.0,84.39,2,1,1,1,1,15080000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
980,shihlin,0.16,97.0,21.38,0,0,0,1,1,1000000.0,21.22,1000000,2019,11,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
981,shihlin,52.46,88.0,123.4,2,1,1,1,1,13000000.0,35.52,0,2019,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
982,Beitou,70.61,106.0,320.5,3,2,4,1,0,88000000.0,0.0,0,2019,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
983,Beitou,70.61,106.0,320.3,3,2,4,1,0,88000000.0,0.0,0,2019,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
984,shihlin,21.4,0.0,0.0,0,0,0,1,0,1068000.0,0.0,0,2019,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
985,shihlin,27.21,69.0,79.79,3,2,2,1,0,6900000.0,0.0,0,2019,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
986,Beitou,24.41,105.0,154.81,1,1,2,1,1,24680000.0,44.25,2000000,2019,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
987,Beitou,24.41,105.0,154.81,1,1,2,1,1,24680000.0,44.25,2000000,2019,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
988,Beitou,92.17,104.0,204.28,3,2,1,1,1,28350000.0,29.42,1700000,2019,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
989,Beitou,27.0,60.0,39.81,2,1,1,1,0,6300000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
990,shihlin,45.0,66.0,152.16,3,2,2,1,0,18080000.0,0.0,0,2019,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
991,Xinyi District,17.4,73.25,60.12,3,2,1,1,0,12000000.0,0.0,0,2019,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
992,Xinyi District,5.05,85.0,32.22,0,0,0,0,1,1405745.0,0.0,0,2019,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
993,Nangang District,14.33,106.0,78.42,1,1,1,1,1,9900000.0,20.6,800000,2019,10,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
994,Xinyi District,69.48,0.0,0.0,0,0,0,1,0,2112130.0,0.0,0,2019,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
995,Xinyi District,25.15,73.25,94.53,3,2,1,1,0,10000000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
996,Songshan District,32.0,0.0,38.22,2,1,1,1,0,31910000.0,0.0,0,2019,11,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
997,Songshan District,6.46,66.0,32.87,1,1,1,1,1,6980000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
998,Songshan District,23.74,77.0,151.39,3,2,1,1,1,19050000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
999,Songshan District,3.81,72.0,46.63,1,1,1,1,1,8600000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1000,Songshan District,26.38,69.0,130.82,4,2,2,1,1,23500000.0,0.0,0,2019,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1001,Xinyi District,26.25,60.0,71.94,3,2,1,1,0,10870000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1002,Nangang District,32.33,0.0,69.55,3,1,1,1,0,6000000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1003,Songshan District,3.84,107.0,55.24,1,1,1,1,1,13200000.0,0.0,0,2019,8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1004,Songshan District,7.21,107.0,116.66,2,2,1,1,1,25500000.0,14.46,1900000,2019,9,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1005,Neihu District,24.44,107.0,161.14,2,2,2,1,1,52550000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1006,Neihu District,0.27,0.0,33.74,0,0,0,1,1,3000000.0,33.74,3000000,2019,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1007,Neihu District,46.53,104.0,363.78,3,2,2,1,1,48000000.0,66.48,4050000,2019,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1008,Zhongshan Area,3.81,97.0,36.59,1,1,1,1,1,7000000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1009,Zhongshan Area,22.57,73.0,109.76,2,2,1,1,0,17900000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1010,Zhongshan Area,4.45,69.0,36.16,1,1,1,1,1,6800000.0,0.0,0,2019,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1011,Zhongshan Area,30.39,75.0,107.57,3,2,2,1,0,17600000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1012,Neihu District,29.69,69.0,93.57,3,2,2,1,0,8600000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1013,Zhongshan Area,0.39,93.0,13.33,0,0,0,1,0,780000.0,0.0,780000,2019,11,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1014,Neihu District,24.6,67.0,86.94,3,2,1,1,0,11000000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1015,Zhongshan Area,21.28,99.0,121.6,2,2,1,1,1,22600000.0,0.0,0,2019,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1016,Neihu District,34.1,74.0,119.06,3,2,2,1,1,13250000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1017,Neihu District,25.06,0.0,0.0,0,0,0,1,0,5685941.0,0.0,0,2019,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1018,Neihu District,25.06,0.0,0.0,0,0,0,1,0,5685941.0,0.0,0,2019,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1019,Neihu District,47.06,72.0,115.93,3,2,2,1,1,17000000.0,0.0,0,2019,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1020,Neihu District,9.4,0.0,0.0,0,0,0,1,0,2132229.0,0.0,0,2019,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1021,Neihu District,9.4,0.0,0.0,0,0,0,1,0,2132229.0,0.0,0,2019,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1022,Neihu District,6.27,0.0,0.0,0,0,0,1,0,1421483.0,0.0,0,2019,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1023,Neihu District,51.22,101.0,348.35,4,2,4,1,1,63000000.0,84.86,0,2019,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1024,Zhongshan Area,4.35,99.0,40.57,1,1,1,1,1,10600000.0,0.0,0,2019,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1025,Zhongshan Area,31.22,96.0,130.7,3,2,2,1,1,15000000.0,14.2,0,2019,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1026,Zhongshan Area,65.61,103.0,624.7,0,0,0,0,1,311500000.0,151.6,14000000,2019,10,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1027,Neihu District,45.66,103.0,330.47,0,0,0,0,1,39280000.0,55.61,5200000,2019,9,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1028,Neihu District,45.35,103.0,325.05,0,0,0,0,1,38800000.0,51.49,5000000,2019,9,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1029,Zhongshan Area,4.29,99.0,32.93,1,1,1,1,1,8550000.0,0.0,0,2019,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
