Index,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,land,building,garage,Address,Agriculture,Other_x,Others,Quotient,work,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_x,See other registration items_x,industrial use,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_x,Prestressed concrete construction,Reinforced concrete construction,See license_y,See other registration items_y,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Ground floor,Lifting machinery,Lifting plane,Not Applicable_y,Other_y,Ramp machinery,Ramp plane,Tower parking
319,4.39,75.0,50.34,0,0,1,1,1,12180000.0,241954.7079856973,0.0,0,2019,10,1944.0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
474,4.42,98.0,54.84,1,1,1,1,1,13260000.0,241794.31072210066,0.0,0,2019,10,1921.0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
477,26.2,72.0,103.52,3,1,2,1,0,26450000.0,255506.1823802164,0.0,0,2019,9,1947.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
478,10.69,79.0,147.71,3,2,2,1,1,29100000.0,197007.6501252454,0.0,0,2019,10,1940.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
479,23.83,82.0,131.07,3,2,2,1,1,26600000.0,202944.99122606238,0.0,0,2019,10,1937.0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
481,6.42,79.0,69.77000000000001,2,1,1,1,1,13550000.0,194209.54564999283,0.0,0,2019,10,1940.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
482,22.48,81.0,89.74000000000002,3,2,1,1,1,9700000.0,108090.03788722976,0.0,0,2019,10,1938.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
483,40.0,59.0,108.69,3,2,2,1,0,19080000.0,175545.12834667406,0.0,0,2019,9,1960.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
519,1.86,78.0,29.5,0,0,0,0,1,5700000.0,193220.33898305087,0.0,0,2019,10,1941.0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
522,14.02,81.0,65.75999999999999,2,1,1,1,1,15050000.0,228862.53041362533,0.0,0,2019,10,1938.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
578,39.12,93.0,183.67,3,2,2,1,1,29500000.0,160614.14493384873,0.0,0,2019,11,1926.0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
582,20.27,72.0,126.01,3,1,2,1,0,24010000.0,190540.43329894452,0.0,0,2019,5,1947.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
583,30.33,70.0,106.12,3,2,2,1,0,23000000.0,216735.77082548055,0.0,0,2019,7,1949.0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
584,31.7,70.0,110.93,3,2,2,1,0,25000000.0,225367.3487785089,0.0,0,2019,7,1949.0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
585,47.0,63.82352941176471,81.6,3,2,2,1,0,17800000.0,218137.25490196078,0.0,0,2019,7,1955.1764705882354,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
592,27.33,68.0,139.31,3,2,2,1,1,31500000.0,226114.42107529967,0.0,0,2019,7,1951.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
593,68.25,63.82352941176471,119.55,3,2,2,1,0,26800000.0,224173.9857800084,0.0,0,2019,10,1955.1764705882354,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
596,9.48,75.0,58.89,1,1,1,1,1,12560000.0,213278.9947359484,0.0,0,2019,10,1944.0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
686,39.58,75.0,125.0,3,2,2,1,0,20200000.0,161600.0,0.0,0,2019,10,1944.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
