Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
5213,23.4,Address,76.0,110.82,3,2,2,1,1,17200000.0,155206.6414004692,0.0,0,2019,4,1943.0,1,1,0
5264,14.42,Address,71.0,60.38,2,1,1,1,1,9500000.0,157336.86651209008,0.0,0,2019,4,1948.0,1,1,0
5273,23.4,Address,76.0,109.97,3,2,2,1,1,12000000.0,109120.66927343821,0.0,0,2019,4,1943.0,1,1,0
5302,37.0,Address,0.0,28.89,2,1,1,1,0,8700000.0,301142.2637590862,0.0,0,2019,4,2019.0,1,1,0
5304,4.36,Quotient,67.0,40.07,1,1,1,1,1,5900000.0,147242.32592962316,0.0,0,2019,4,1952.0,3,1,0
5314,50.13,Address,103.0,427.55,4,2,3,1,1,68800000.0,160916.85183019534,0.0,0,2019,4,1916.0,1,1,4
5315,8.33,Quotient,106.0,109.55,0,1,1,1,1,24500000.0,223642.1725239617,0.0,0,2019,4,1913.0,1,1,0
5317,1.17,Other,72.0,5.3,1,1,1,1,0,276934.0,52251.698113207545,0.0,0,2020,1,1948.0,2,1,0
5318,3.46,Address,0.0,0.0,0,0,0,1,0,830124.0,239920.23121387284,0.0,0,2020,1,2020.0,3,0,0
5319,3.46,Address,0.0,0.0,0,0,0,1,0,830124.0,239920.23121387284,0.0,0,2020,1,2020.0,3,0,0
5320,1.17,Other,72.0,5.3,1,1,1,1,0,276934.0,52251.698113207545,0.0,0,2020,1,1948.0,2,1,0
5322,21.39,Address,106.0,134.94,3,2,2,1,1,20500000.0,151919.37157255074,0.0,0,2019,4,1913.0,1,1,0
5326,14.49,Quotient,70.0,68.84,2,2,1,1,0,6900000.0,100232.42300987797,0.0,0,2019,4,1949.0,1,1,0
5327,202.0,Address,77.0,852.9,4,2,3,1,0,105000000.0,123109.39148786494,0.0,0,2019,4,1942.0,2,11,0
5374,20.81,Address,61.0,67.94,4,2,1,1,0,7500000.0,110391.5219311157,0.0,0,2019,4,1958.0,2,1,0
5458,15.97,Quotient,108.0,238.96,3,2,2,1,1,36150000.0,151280.54904586542,83.02,4500000,2020,1,1912.0,2,1,2
5459,7.81,Quotient,101.0,120.97,2,2,1,1,1,21500000.0,177730.01570637352,0.0,0,2020,1,1919.0,1,1,1
5460,22.05,Address,76.0,104.28,3,2,2,1,1,14750000.0,141446.10663598005,0.0,0,2019,4,1943.0,1,1,0
5462,36.47,Address,97.0,171.39,0,1,1,1,1,32063000.0,187076.2588249023,0.0,0,2020,1,1923.0,4,1,0
5465,2.54,Quotient,69.0,27.160000000000004,1,1,1,1,1,4100000.0,150957.29013254785,0.0,0,2019,4,1950.0,11,1,0
5495,9.94,Quotient,106.0,123.12,3,2,2,1,1,23850000.0,193713.45029239767,0.0,0,2020,1,1914.0,1,1,0
5497,4.4,Address,70.0,37.87000000000001,1,1,1,1,1,4100000.0,108265.11750726168,0.0,0,2019,4,1949.0,2,1,0
5605,51.83,Quotient,76.0,294.74,9,0,9,1,1,41800000.0,141819.90907240278,0.0,0,2019,4,1943.0,1,1,0
5607,14.67,Quotient,100.0,200.61,3,2,2,1,1,31180000.0,155425.95084990776,40.77,2500000,2019,4,1919.0,1,1,1
5672,19.64,Quotient,108.0,281.9,2,2,2,1,1,45660000.0,161972.3306136928,83.02,4900000,2019,4,1911.0,2,1,2
5673,20.64,Address,56.0,53.42,2,1,1,1,1,5200000.0,97341.81954324222,0.0,0,2020,1,1964.0,1,1,0
5674,12.4,Address,79.16666666666667,46.08,2,1,1,1,1,6800000.0,147569.44444444447,0.0,0,2019,4,1939.833333333333,1,1,0
5675,12.65,Quotient,80.0,132.29,3,2,2,1,1,19680000.0,148764.07891752967,0.0,0,2020,1,1940.0,1,1,0
