Index,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,land,building,garage,Address,Agriculture,Other_x,Others,Quotient,work,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_x,See other registration items_x,industrial use,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_x,Prestressed concrete construction,Reinforced concrete construction,See license_y,See other registration items_y,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Ground floor,Lifting machinery,Lifting plane,Not Applicable_y,Other_y,Ramp machinery,Ramp plane,Tower parking
239,88.76,83.0,180.6,3,2,2,1,1,15800000.0,87486.15725359911,0.0,0,2019,9,1936.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240,2.78,0.0,36.65,0,0,0,1,1,2300000.0,62755.79809004093,36.65,2300000,2019,10,2019.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241,125.46,70.0,521.8100000000002,3,2,4,1,1,52000000.0,99653.13044978057,0.0,0,2019,10,1949.0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,6.98,97.0,44.15,0,0,0,0,1,8200000.0,185730.46432616079,0.0,0,2019,10,1922.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
282,5.67,0.0,0.0,0,0,0,1,0,1185000.0,208994.70899470896,0.0,0,2019,11,2019.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
303,19.86,73.0,80.88,2,1,1,1,1,8700000.0,107566.76557863502,0.0,0,2019,10,1946.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
304,45.57,75.0,143.38,4,2,2,1,1,14000000.0,97642.6279815874,0.0,0,2019,9,1944.0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
305,24.72,102.0,102.7,0,0,0,0,1,12800000.0,124634.85881207402,0.0,0,2019,9,1917.0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
307,31.93,108.0,295.11,4,2,3,1,1,47550000.0,161126.35966249873,76.34,5400000,2015,4,1907.0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
308,53.87,66.0,134.39,4,2,2,1,0,17500000.0,130218.02217426893,0.0,0,2019,10,1953.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
312,25.06,101.0,184.04,3,2,2,1,1,23000000.0,124972.83199304498,0.0,0,2019,10,1918.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
315,35.5,62.0,94.1,3,2,1,1,0,12550000.0,133368.75664187036,0.0,0,2019,10,1957.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
486,23.48,105.0,153.72,2,2,2,1,1,22550000.0,146695.29013791308,44.25,0,2019,10,1914.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
487,24.94,87.0,126.14,3,2,2,1,1,17000000.0,134770.88948787062,0.0,0,2019,10,1932.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
488,6.91,0.0,0.0,0,0,0,1,0,1108247.0,160383.06801736614,0.0,0,2019,11,2019.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
489,1.39,0.0,0.0,0,0,0,1,0,222600.0,160143.88489208635,0.0,0,2019,11,2019.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
490,1.39,0.0,0.0,0,0,0,1,0,222600.0,160143.88489208635,0.0,0,2019,11,2019.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
491,0.73,0.0,32.85,0,0,0,1,0,1800000.0,54794.520547945205,32.85,1800000,2019,11,2019.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
492,21.77,73.0,103.46,3,1,2,1,1,14800000.0,143050.45428184807,0.0,0,2019,10,1946.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
493,37.5,57.0,46.94,4,1,2,1,0,1408050.0,29996.804431188753,0.0,0,2019,10,1962.0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
496,40.28,106.0,108.08,2,2,1,1,1,18000000.0,166543.30125832718,25.53,2600000,2019,9,1913.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
514,41.67,78.0,136.96,6,3,3,1,0,13380000.0,97692.7570093458,0.0,0,2019,9,1941.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
