district,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
3,29.12,Quotient,94.0,182.36,4,3,2,1,1,21500000.0,117898.6619872779,29.74,1500000,2019,11,1925.0,1,1,1
2,11.84,Quotient,106.0,204.8,3,2,2,1,1,32500000.0,158691.40625,48.24,3500000,2019,11,1913.0,1,1,1
10,21.5,Quotient,0.0,22.32,0,0,0,0,0,5900000.0,264336.9175627241,0.0,0,2019,12,2019.0,1,1,0
10,11.41,Quotient,79.0,133.29,3,2,2,1,1,30500000.0,228824.3679195739,0.0,0,2019,12,1940.0,2,1,0
8,4.78,Quotient,66.0,24.99,1,1,1,1,0,3900000.0,156062.424969988,0.0,0,2020,1,1954.0,2,1,0
8,2.41,Quotient,71.0,27.270000000000003,1,1,1,1,1,2200000.0,80674.73414008066,0.0,0,2019,12,1948.0,1,1,0
7,23.08,Quotient,106.0,165.70999999999995,3,2,2,1,0,46990000.0,283567.67847444327,16.68,3000000,2019,11,1913.0,1,1,1
7,13.04,Quotient,108.0,52.57,1,1,1,1,1,14080000.0,267833.3650370934,0.0,0,2019,12,1911.0,1,1,0
7,18.51,Quotient,74.0,106.55,3,2,2,1,1,16260000.0,152604.41107461287,0.0,0,2020,1,1946.0,1,1,0
8,2.69,Quotient,81.0,30.22,0,0,0,1,1,1500000.0,49636.002647253474,0.0,1500000,2020,1,1939.0,0,0,1
8,21.07,Quotient,75.0,103.42,3,2,2,1,0,13500000.0,130535.67975246569,0.0,0,2019,12,1944.0,1,1,0
8,4.63,Quotient,68.0,38.37000000000001,1,1,1,1,1,5700000.0,148553.5574667709,0.0,0,2019,12,1951.0,1,1,0
8,21.2,Quotient,72.0,96.52,3,2,2,1,0,17500000.0,181309.57314546208,0.0,0,2019,11,1947.0,1,1,0
6,28.8,Quotient,71.0,101.34,3,2,2,1,0,13250000.0,130747.9771067693,0.0,0,2019,11,1948.0,1,1,0
11,8.72,Quotient,73.0,57.1,1,1,1,1,1,9580000.0,167775.83187390544,0.0,0,2019,12,1946.0,2,1,0
9,7.52,Quotient,69.0,79.23,3,2,1,1,1,18450000.0,232866.33850814085,0.0,0,2019,12,1950.0,6,1,0
9,15.21,Quotient,76.0,162.32999999999996,3,2,2,1,1,33880000.0,208710.651142734,0.0,0,2019,12,1943.0,2,1,1
5,21.63,Quotient,67.0,104.68,2,2,2,1,0,8000000.0,76423.38555598013,0.0,0,2019,12,1952.0,3,1,0
5,5.01,Quotient,85.0,34.83,0,1,1,1,1,5920000.0,169968.4180304335,0.0,0,2019,12,1934.0,4,1,0
