Index,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,land,building,garage,Address,Agriculture,Other_x,Others,Quotient,work,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_x,See other registration items_x,industrial use,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_x,Prestressed concrete construction,Reinforced concrete construction,See license_y,See other registration items_y,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Ground floor,Lifting machinery,Lifting plane,Not Applicable_y,Other_y,Ramp machinery,Ramp plane,Tower parking
177,33.74,99.0,164.55,3,2,2,1,1,18500000.0,112427.83348526283,6.81,0,2019,10,1920.0,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,16.96,62.0625,48.73,1,1,1,1,0,8600000.0,176482.659552637,0.0,0,2019,10,1956.9375,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
179,35.61,99.0,180.18,3,2,2,1,1,20578000.0,114208.0142080142,0.0,0,2019,10,1920.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,35.52,99.0,179.66000000000003,3,2,2,1,1,24860000.0,138372.48135366806,0.0,0,2019,10,1920.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,35.8,99.0,181.06,3,2,2,1,1,24238000.0,133867.226333812,0.0,0,2019,10,1920.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
182,20.75,58.0,46.32,3,2,2,1,0,6000000.0,129533.67875647669,0.0,0,2019,11,1961.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
183,37.67,81.0,129.16,4,2,2,1,1,15800000.0,122328.8943945494,0.0,0,2019,9,1938.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
251,39.46,84.0,156.23000000000005,3,2,2,1,1,19350000.0,123855.85354925427,0.0,1800000,2019,9,1935.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252,29.25,62.0625,77.32,3,1,1,1,0,7020000.0,90791.51577858251,0.0,0,2019,10,1956.9375,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
253,17.21,73.0,107.92,2,2,2,1,1,19800000.0,183469.23647146035,0.0,0,2019,10,1946.0,5,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
254,29.12,62.0625,78.5,4,3,2,1,0,10650000.0,135668.7898089172,0.0,0,2019,10,1956.9375,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
255,41.25,62.0625,89.43,3,2,1,1,0,9200000.0,102873.75601028737,0.0,0,2019,10,1956.9375,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
258,1.0,0.0,0.0,0,0,0,1,0,24900.0,24900.0,0.0,0,2019,10,2019.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
296,35.06,71.0,116.62,3,2,2,1,1,13180000.0,113016.63522551877,0.0,0,2019,10,1948.0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
372,77.97,0.0,0.0,0,0,0,1,0,45991335.0,589859.3689880724,0.0,0,2019,11,2019.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
373,5.45,0.0,0.0,0,0,0,1,0,3216525.0,590188.0733944954,0.0,0,2019,11,2019.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
374,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
375,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
376,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
377,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
378,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
379,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
380,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
381,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
382,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
383,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
384,0.02,0.0,0.0,0,0,0,1,0,14040.0,702000.0,0.0,0,2019,11,2019.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
