Index,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,land,building,garage,Address,Agriculture,Other_x,Others,Quotient,work,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_x,See other registration items_x,industrial use,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_x,Prestressed concrete construction,Reinforced concrete construction,See license_y,See other registration items_y,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Ground floor,Lifting machinery,Lifting plane,Not Applicable_y,Other_y,Ramp machinery,Ramp plane,Tower parking
146,20.16,108.0,263.58,3,2,3,1,1,86360000.0,327642.4614917672,29.77,4000000,2019,10,1911.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
147,7.67,108.0,91.03,2,2,1,1,1,30580000.0,335933.20883225306,0.0,0,2019,9,1911.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
148,18.85,108.0,252.05,3,2,2,1,1,75500000.0,299543.74132116645,29.77,4000000,2019,9,1911.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
149,7.8,108.0,120.81,2,2,1,1,1,34800000.0,288055.62453439285,29.77,2800000,2019,9,1911.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
150,1.44,0.0,0.0,0,0,0,1,0,1276000.0,886111.1111111111,0.0,0,2019,10,2019.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,15.5,0.0,0.0,0,0,0,1,0,13601000.0,877483.8709677418,0.0,0,2019,10,2019.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
198,6.0,67.0,27.56,1,0,1,1,0,5500000.0,199564.58635703922,0.0,0,2019,9,1952.0,4,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199,30.25,75.0,113.94,3,2,1,1,0,13000000.0,114095.13779182025,0.0,0,2019,9,1944.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200,7.87,67.0,70.03999999999999,2,1,1,1,1,11280000.0,161050.8280982296,0.0,0,2019,9,1952.0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202,25.33,57.0,58.78,2,1,1,1,0,8300000.0,141204.49132357945,0.0,0,2019,10,1962.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
205,5.91,67.0,36.13,1,1,1,1,1,6460000.0,178798.78217547742,0.0,0,2019,9,1952.0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,20.0,98.0,125.97,1,1,1,1,1,20500000.0,162737.1596411844,52.51,0,2019,9,1921.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
264,29.8,68.0,108.61,3,2,2,1,0,12000000.0,110487.06380627933,0.0,0,2019,10,1951.0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
286,32.8,66.0,92.32,3,2,1,1,0,15520000.0,168110.9185441941,0.0,0,2019,9,1953.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
288,17.17,67.0,96.29,2,1,1,1,1,12290000.0,127635.26845986086,0.0,0,2019,9,1952.0,2,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
289,17.12,67.0,95.66,2,1,1,1,1,12210000.0,127639.55676353752,0.0,0,2019,9,1952.0,2,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
290,28.34,72.0,150.56,4,2,2,1,1,27330000.0,181522.31668437828,0.0,0,2019,10,1947.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
295,17.14,64.0,75.46,3,1,3,1,0,11800000.0,156374.23800689107,0.0,0,2019,9,1955.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
332,1.75,97.0,80.5,0,0,0,1,1,2600000.0,32298.136645962728,0.0,2600000,2019,10,1922.0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
