district,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
11,48.5,Address,62.325,105.28,3,2,1,1,0,18000000.0,170972.6443768997,0.0,0,2019,4,1956.675,1,1,0
8,16.0,Address,68.0,57.68,2,1,1,1,0,11000000.0,190707.35090152567,0.0,0,2019,3,1951.0,1,1,0
8,28.25,Address,66.0,85.13,3,3,2,1,0,12880000.0,151298.01480089276,0.0,0,2019,4,1953.0,1,1,0
6,26.59,Address,103.0,176.89,3,2,2,1,1,31000000.0,175250.1554638476,41.5,0,2019,4,1916.0,1,1,1
6,27.33,Address,88.0,167.61,3,2,2,1,1,31000000.0,184953.16508561547,0.0,0,2019,3,1931.0,1,1,1
6,17.1,Address,100.0,104.94,2,1,1,1,1,14880000.0,141795.31160663234,24.12,0,2019,4,1919.0,1,1,1
6,44.48,Address,78.0,108.26,3,2,2,1,0,14100000.0,130242.00997598373,0.0,0,2019,4,1941.0,1,1,0
8,62.68,Address,107.0,404.64,1,1,1,1,1,97920000.0,241992.8825622776,0.0,0,2019,4,1912.0,1,6,0
6,28.47,Address,70.0,102.71,2,2,2,1,0,13680000.0,133190.53646188302,0.0,0,2019,3,1949.0,1,1,0
6,41.01,Address,96.0,204.2,4,2,2,1,1,38600000.0,189030.3623898139,39.47,0,2019,4,1923.0,1,1,1
8,38.49,Address,73.0,228.45,4,2,2,1,1,43200000.0,189100.45961917265,0.0,0,2019,4,1946.0,1,1,1
6,38.18,Address,85.0,138.38,3,2,3,1,1,20000000.0,144529.55629426218,0.0,0,2019,4,1934.0,1,1,1
6,25.33,Address,72.0,116.09,3,2,2,1,0,18000000.0,155052.1147385649,0.0,0,2019,4,1947.0,1,1,0
5,15.1,Address,107.0,104.75,2,0,1,1,1,18820000.0,179665.87112171837,31.5,2200000,2019,4,1912.0,1,1,1
2,25.0,Address,0.0,36.3,2,1,1,1,0,3773850.0,103962.80991735538,0.0,0,2019,4,2019.0,1,1,0
10,21.29,Address,102.0,124.29,1,2,2,1,1,32200000.0,259071.5262692091,20.08,0,2019,3,1917.0,1,1,2
2,18.0,Address,62.0,68.53,2,1,1,1,0,5000000.0,72960.7471180505,0.0,0,2019,4,1957.0,1,1,0
2,25.43,Address,61.0,100.2,3,1,1,1,0,7200000.0,71856.2874251497,0.0,0,2019,3,1958.0,1,1,0
2,7.67,Address,65.0,25.34,1,1,1,1,0,1137280.0,44880.82083662193,0.0,0,2019,4,1954.0,1,1,0
10,22.9,Address,70.0,167.46,4,2,2,1,1,25500000.0,152275.17018989607,0.0,0,2019,4,1949.0,2,1,0
1,20.88,Address,62.0625,46.5,6,0,6,1,0,6440000.0,138494.62365591398,0.0,0,2019,4,1956.9375,1,1,0
1,30.38,Address,62.0625,78.35,2,2,1,1,0,10150000.0,129546.90491384812,0.0,0,2019,4,1956.9375,2,1,0
1,24.94,Address,97.0,131.42,2,2,1,1,1,19000000.0,144574.6461725765,40.27,0,2019,4,1922.0,3,1,1
1,21.21,Address,62.0625,70.48,3,2,1,1,0,13700000.0,194381.38479001133,0.0,0,2019,3,1956.9375,3,1,0
1,121.26,Address,76.0,224.24,5,3,3,1,1,25000000.0,111487.69175882984,0.0,0,2019,3,1943.0,2,1,0
1,33.23,Address,96.0,229.03,2,2,2,1,1,19000000.0,82958.56438021219,79.16,0,2019,3,1923.0,1,1,2
1,20.67,Address,108.0,167.59,3,2,2,1,1,27110000.0,161763.82839071544,46.7,2200000,2017,2,1909.0,1,1,1
