Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
5632,16.43,Quotient,68.0,122.18,3,2,2,1,1,6600000.0,54018.66099197905,0.0,0,2020,1,1952.0,1,1,0
5634,28.55,Address,70.0,155.5,3,2,2,1,1,22770000.0,146430.86816720257,0.0,0,2020,1,1950.0,1,1,0
5743,23.5,Quotient,89.0,161.18,3,2,2,1,1,30000000.0,186127.31108077927,0.0,0,2019,4,1930.0,2,1,1
5744,27.71,Address,95.0,116.92000000000002,3,2,2,1,1,21880000.0,187136.50359219976,0.0,0,2019,4,1924.0,1,1,1
5747,164.61,Address,0.0,0.0,0,0,0,1,0,8860000.0,53824.19051090456,0.0,0,2020,1,2020.0,3,0,0
5749,8.45,Address,93.0,33.92,1,2,1,1,1,12160000.0,358490.56603773584,0.0,0,2020,1,1927.0,1,1,0
5793,21.82,Address,108.0,283.48,0,0,0,0,0,75150000.0,265098.06688302517,76.2,7200000,2019,3,1911.0,2,1,2
5794,21.82,Address,108.0,282.16,0,0,0,0,0,74850000.0,265275.0212645308,76.2,6700000,2019,3,1911.0,2,1,2
5795,19.98,Address,108.0,226.19,3,2,2,1,0,55360000.0,244749.98894734515,38.1,3200000,2017,4,1909.0,2,1,1
5798,7.8,Address,0.0,0.0,0,0,0,1,0,3539250.0,453750.0,0.0,0,2019,4,2019.0,1,0,0
5799,1.95,Address,0.0,0.0,0,0,0,1,0,884813.0,453750.2564102565,0.0,0,2019,4,2019.0,1,0,0
5800,1.95,Address,0.0,0.0,0,0,0,1,0,884813.0,453750.2564102565,0.0,0,2019,4,2019.0,1,0,0
5801,1.95,Address,0.0,0.0,0,0,0,1,0,884813.0,453750.2564102565,0.0,0,2019,4,2019.0,1,0,0
5802,1.95,Address,0.0,0.0,0,0,0,1,0,884813.0,453750.2564102565,0.0,0,2019,4,2019.0,1,0,0
5803,1.3,Address,0.0,0.0,0,0,0,1,0,589875.0,453750.0,0.0,0,2019,4,2019.0,1,0,0
5804,1.3,Address,0.0,0.0,0,0,0,1,0,589875.0,453750.0,0.0,0,2019,4,2019.0,1,0,0
5805,1.3,Address,0.0,0.0,0,0,0,1,0,589875.0,453750.0,0.0,0,2019,4,2019.0,1,0,0
5806,1.3,Address,0.0,0.0,0,0,0,1,0,589875.0,453750.0,0.0,0,2019,4,2019.0,1,0,0
5807,0.65,Address,0.0,0.0,0,0,0,1,0,294938.0,453750.7692307692,0.0,0,2019,4,2019.0,1,0,0
5808,0.65,Address,0.0,0.0,0,0,0,1,0,294938.0,453750.7692307692,0.0,0,2019,4,2019.0,1,0,0
5809,7.8,Address,0.0,0.0,0,0,0,1,0,3539250.0,453750.0,0.0,0,2019,4,2019.0,1,0,0
5810,1.62,Address,0.0,0.0,0,0,0,1,0,737344.0,455150.6172839506,0.0,0,2019,4,2019.0,1,0,0
5811,1.62,Address,0.0,0.0,0,0,0,1,0,737344.0,455150.6172839506,0.0,0,2019,4,2019.0,1,0,0
5812,1.62,Address,0.0,0.0,0,0,0,1,0,737344.0,455150.6172839506,0.0,0,2019,4,2019.0,1,0,0
5813,1.62,Address,0.0,0.0,0,0,0,1,0,737344.0,455150.6172839506,0.0,0,2019,4,2019.0,1,0,0
5814,1.3,Address,0.0,0.0,0,0,0,1,0,589875.0,453750.0,0.0,0,2019,4,2019.0,1,0,0
5815,7.8,Address,0.0,0.0,0,0,0,1,0,3539250.0,453750.0,0.0,0,2019,4,2019.0,1,0,0
