district,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
3,42.0,63.0,105.97,3,2,2,1,0,21500000.0,202887.60970085874,0.0,0,2019,4,1956.0,1,1,0
3,5.22,67.0,56.9,2,1,1,1,1,8500000.0,149384.88576449914,0.0,0,2019,4,1952.0,2,1,0
3,2246.29,0.0,0.0,0,0,0,1,0,135900000.0,60499.7573777206,0.0,0,2019,4,2019.0,3,0,0
7,2602.53,0.0,0.0,0,0,0,1,0,50000000.0,19212.07440452175,0.0,0,2019,4,2019.0,1,0,0
3,17.59,98.0,124.36,2,2,1,1,1,13000000.0,104535.22032807977,47.42,0,2019,4,1921.0,1,1,1
3,10.2,86.0,70.18,2,1,1,1,1,8400000.0,119692.22000569962,0.0,0,2019,4,1933.0,1,1,0
7,94.12,65.0,102.92,4,2,2,1,0,11000000.0,106879.12942090943,0.0,0,2019,4,1954.0,1,1,0
3,7.88,98.0,48.8,0,0,0,0,1,4880000.0,100000.0,0.0,0,2019,4,1921.0,1,1,0
7,33.24,71.0,114.1,3,2,2,1,0,15500000.0,135845.74934268187,0.0,0,2019,3,1948.0,1,1,0
7,215.29,0.0,0.0,0,0,0,1,0,538213.0,2499.94426122904,0.0,0,2019,4,2019.0,1,0,0
7,30.75,64.98,83.48,2,1,1,1,0,17800000.0,213224.72448490656,0.0,0,2019,4,1954.02,1,1,0
3,115.0,75.0,107.66,2,1,3,1,0,42000000.0,390117.0351105332,0.0,0,2019,3,1944.0,2,1,0
3,4.13,67.0,25.5,1,0,1,1,0,2500000.0,98039.21568627449,0.0,0,2019,4,1952.0,1,1,0
3,95.71,0.0,0.0,0,0,0,1,0,68432650.0,715000.0,0.0,0,2019,4,2019.0,1,0,0
3,28.4,65.0,91.42,3,2,2,1,0,10000000.0,109385.25486764383,0.0,0,2019,3,1954.0,1,1,0
12,25.38,80.0,115.37,3,2,1,1,0,31600000.0,273901.3608390396,0.0,0,2019,3,1939.0,1,1,0
12,20.74,71.0,146.51999999999995,0,2,1,1,1,55000000.0,375375.3753753753,0.0,0,2019,3,1948.0,1,1,0
12,50.0,58.92857142857143,138.81,4,2,2,1,0,34500000.0,248541.1713853469,0.0,0,2019,3,1960.071428571429,1,1,0
12,0.1,106.0,32.09,0,0,0,1,1,3100000.0,96603.30320972264,32.07,3100000,2019,4,1913.0,0,0,1
12,3.31,96.0,38.94,0,0,0,0,1,14000000.0,359527.478171546,0.0,0,2019,4,1923.0,2,1,0
12,11.75,94.0,54.38,1,1,1,1,1,12880000.0,236851.78374402356,0.0,0,2019,4,1925.0,1,1,0
12,8.2,0.0,91.09,0,0,0,0,1,24000000.0,263475.6833900538,0.0,0,2019,4,2019.0,2,1,0
12,31.5,87.0,61.78,0,0,0,0,0,14700000.0,237941.08125606988,0.0,0,2019,4,1932.0,1,1,0
12,24.0,60.0,80.57,3,2,1,1,0,15700000.0,194861.611021472,0.0,0,2019,4,1959.0,1,1,0
1,36.33,78.0,109.0,3,2,2,1,1,12800000.0,117431.19266055046,0.0,0,2019,3,1941.0,1,1,0
2,53.48,102.0,206.69,4,2,2,1,1,13000000.0,62896.12463109004,0.0,0,2014,1,1912.0,1,1,1
8,47.09,89.0,155.26999999999995,3,2,2,1,0,24100000.0,155213.49906614286,0.0,0,2019,4,1930.0,1,1,1
6,20.98,104.0,224.1,2,2,2,1,1,38800000.0,173136.99241410085,33.24,2500000,2019,3,1915.0,1,1,1
6,22.28,97.0,118.89,2,2,1,1,1,20800000.0,174951.635966019,24.09,2500000,2019,3,1922.0,1,1,1
4,26.78,95.13333333333334,130.53,4,2,2,1,1,20500000.0,157052.01869302074,0.0,0,2019,3,1923.8666666666666,1,1,0
9,17.48,106.0,132.93,2,2,2,1,1,27500000.0,206875.7992928609,29.17,3000000,2019,3,1913.0,1,1,1
4,21.25,63.4,77.0,3,1,1,1,0,3900000.0,50649.35064935066,0.0,0,2019,3,1955.6,1,1,0
11,25.3,76.0,131.75,3,2,2,1,0,23850000.0,181024.66793168877,0.0,0,2019,4,1943.0,1,1,0
11,18.0,0.0,0.0,0,0,0,1,0,820800.0,45600.0,0.0,0,2019,4,2019.0,1,0,0
3,19.83,66.0,85.8,2,2,1,1,0,2660000.0,31002.331002331004,0.0,0,2019,4,1953.0,1,1,0
7,6.29,96.0,41.69,0,1,1,1,1,7440000.0,178460.06236507554,0.0,0,2019,3,1923.0,1,1,0
3,36.75,62.0,87.3,2,2,1,1,0,19100000.0,218785.79610538372,0.0,0,2019,4,1957.0,1,1,0
7,16.36,67.0,106.65,1,2,1,1,1,16200000.0,151898.73417721517,0.0,0,2019,4,1952.0,2,1,0
12,3.0,0.0,0.0,0,0,0,1,0,188550.0,62850.0,0.0,0,2019,4,2019.0,1,0,0
12,7.13,85.0,38.62000000000001,1,1,1,1,1,10300000.0,266701.1910926981,0.0,0,2019,4,1934.0,2,1,0
12,20.57,69.0,185.77,3,2,2,1,1,51000000.0,274533.0247079722,0.0,0,2019,3,1950.0,1,1,0
12,10.48,72.0,120.55,2,1,2,1,1,23000000.0,190792.20240564086,0.0,0,2019,3,1947.0,1,1,0
12,12.55,72.0,139.04,3,2,1,1,1,26000000.0,186996.54775604146,0.0,0,2019,3,1947.0,1,1,0
6,22.84,74.0,113.53,4,2,2,1,0,12160000.0,107108.25332511232,0.0,0,2019,4,1945.0,3,1,0
6,11.77,75.0,102.52,4,2,2,1,1,25300000.0,246781.11587982837,0.0,0,2019,4,1944.0,1,1,0
8,0.18,93.0,15.53,0,0,0,1,1,1000000.0,64391.5003219575,15.38,1000000,2019,4,1926.0,0,0,1
8,4.0,0.0,0.0,0,0,0,1,0,214200.0,53550.0,0.0,0,2019,4,2019.0,1,0,0
8,6.37,90.0,81.84,1,1,1,1,1,17280000.0,211143.69501466272,0.0,1500000,2019,4,1929.0,1,1,1
2,26.0,66.0,78.65,1,0,1,1,0,8230000.0,104640.8137317228,0.0,0,2019,3,1953.0,1,1,0
5,21.5,62.0,79.59,3,1,1,1,0,7830000.0,98379.19336600076,0.0,0,2019,3,1957.0,1,1,0
1,86.54,98.0,236.26,3,2,2,1,1,34000000.0,143909.25251841193,35.87,2000000,2019,2,1921.0,1,1,1
1,18.93,86.0,78.03999999999998,2,2,1,1,1,11800000.0,151204.5105074321,0.0,0,2019,3,1933.0,1,1,0
1,20.48,96.0,109.3,2,2,1,1,1,18000000.0,164684.3549862763,7.66,1500000,2019,3,1923.0,1,1,1
1,52.75,79.0,179.07,3,2,2,1,0,20350000.0,113642.70955492268,34.31,1950000,2019,4,1940.0,1,1,1
