Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
4616,43.89,Address,62.325,95.38,6,2,2,1,0,14500000.0,152023.48500733907,0.0,0,2019,4,1956.675,2,1,0
4617,17.11,Address,0.0,0.0,0,0,0,1,0,1680000.0,98188.19403857394,0.0,0,2019,4,2019.0,16,0,0
4619,15.12,Quotient,77.0,124.88,2,2,0,1,1,28250000.0,226217.1684817425,0.0,0,2019,4,1942.0,1,1,0
4626,15.19,Other,98.0,129.6,2,1,1,1,1,31000000.0,239197.53086419753,14.97,0,2019,4,1921.0,1,1,1
4627,35.45,Address,75.0,135.16,3,2,2,1,0,17980000.0,133027.52293577982,0.0,0,2019,4,1944.0,1,1,0
4703,14.1,Address,103.0,74.42,1,1,1,1,1,15500000.0,208277.344799785,0.0,0,2020,1,1917.0,1,2,1
4704,22.8,Address,73.0,86.21,2,1,1,1,0,12970000.0,150446.58392297878,0.0,0,2019,4,1946.0,1,1,0
4705,0.08,Quotient,106.0,33.91,0,0,0,1,0,2800000.0,82571.51282807432,0.0,2800000,2019,4,1913.0,0,0,1
4710,66.04,Other,107.0,570.3199999999998,0,0,0,0,1,297650000.0,521899.98597278725,99.21,12600000,2019,2,1912.0,2,1,3
4711,22.14,Address,107.0,145.69,3,1,2,1,1,43400000.0,297892.7860525774,0.0,0,2019,4,1912.0,1,1,0
4713,17.49,Address,78.375,87.39,2,2,2,1,1,19800000.0,226570.54582904218,0.0,0,2019,4,1940.625,3,1,0
4716,18.2,Address,103.0,104.27,2,1,2,1,1,25250000.0,242159.7775007193,0.0,0,2019,4,1916.0,1,1,0
4717,26.5,Address,78.375,257.57,3,2,2,1,1,97000000.0,376596.65333695704,29.76,0,2019,4,1940.625,2,1,1
4719,18.41,Address,103.0,122.07999999999998,2,2,2,1,0,31380000.0,257044.56094364356,0.0,0,2019,4,1916.0,1,1,1
4724,4.0,Address,58.0,10.12,2,1,1,1,0,2200000.0,217391.30434782608,0.0,0,2020,1,1962.0,1,1,0
4725,31.39,Address,74.5,106.66,3,2,1,1,1,10120000.0,94880.93005812864,0.0,0,2019,4,1944.5,1,1,0
4776,12.71,Address,73.0,48.69,0,0,1,1,0,35000000.0,718833.4360238244,0.0,0,2019,4,1946.0,1,1,0
4827,24.55,Address,77.0,99.34,3,2,2,1,0,21880000.0,220253.67425005036,0.0,0,2020,1,1943.0,2,1,0
4828,20.5,Address,62.325,100.07,3,2,1,1,0,15600000.0,155890.87638652945,0.0,0,2019,4,1956.675,2,1,0
4829,24.99,Address,73.25,96.71,3,2,2,1,0,16700000.0,172681.21187054078,0.0,0,2019,4,1945.75,1,1,0
4833,18.02,Address,77.0,84.62,2,2,1,1,0,19600000.0,231623.72961474827,0.0,0,2019,4,1942.0,1,1,0
4834,30.98,Address,107.0,426.04,0,0,0,0,0,180000000.0,422495.54032485216,86.56,5200000,2017,4,1910.0,2,1,2
4836,30.82,Address,74.0,127.15,3,2,1,1,0,19000000.0,149429.80731419582,0.0,0,2019,4,1945.0,1,1,0
4905,37.29,Address,107.0,488.82,0,0,0,0,0,235680000.0,482140.66527556157,150.24,0,2019,3,1912.0,2,1,4
4910,33.51,Other,78.0,215.16,3,2,2,1,1,62500000.0,290481.5021379439,0.0,0,2019,4,1941.0,1,1,0
4913,11.66,Address,107.0,76.74,2,1,1,1,1,25180000.0,328120.92780818354,0.0,0,2019,4,1912.0,1,1,0
4958,19.11,Address,82.0,248.34,3,1,2,1,1,50000000.0,201336.87686236613,40.6,3000000,2019,4,1937.0,1,1,1
5008,21.82,Address,59.0,41.66,2,2,1,1,0,6341000.0,152208.35333653385,0.0,0,2019,4,1960.0,2,1,0
5009,28.5,Address,59.0,70.86,3,1,1,1,1,11350000.0,160174.99294383288,0.0,0,2019,4,1960.0,1,1,0
5011,7.98,Address,74.0,83.29,2,1,1,1,1,18000000.0,216112.3784367871,0.0,0,2019,4,1945.0,2,2,0
5014,57.0,Address,57.0,81.0,4,1,1,1,0,10160000.0,125432.09876543206,0.0,0,2020,1,1963.0,1,1,0
5065,25.14,Address,74.0,99.55,3,2,2,1,0,13500000.0,135610.2461074837,0.0,0,2019,4,1945.0,1,1,0
5105,27.0,Address,75.0,105.22,3,1,2,1,0,26000000.0,247101.3115377305,0.0,0,2019,4,1944.0,2,1,0
5109,32.25,Address,63.0,91.83,3,2,1,1,0,15300000.0,166612.2182293368,0.0,0,2019,4,1956.0,1,1,0
5110,24.8,Address,78.0,113.68,4,2,2,1,0,23000000.0,202322.30823363824,0.0,0,2019,4,1941.0,1,1,0
5166,8.72,Quotient,73.0,57.1,1,1,1,1,1,9580000.0,167775.83187390544,0.0,0,2019,4,1946.0,2,1,0
5167,17.4,Address,102.0,114.49,2,1,1,1,1,25500000.0,222726.8757096689,19.4,0,2019,4,1917.0,1,1,1
5168,30.0,Address,80.0,75.24,2,2,1,1,0,12500000.0,166135.0345560872,0.0,0,2019,4,1939.0,1,1,0
5169,30.0,Address,80.0,75.24,2,2,1,1,0,12500000.0,166135.0345560872,0.0,0,2019,4,1939.0,1,1,0
5175,29.9,Address,74.0,110.37,3,2,2,1,0,19300000.0,174866.35861194163,0.0,0,2019,4,1945.0,1,1,0
5176,42.27,Address,76.0,162.73000000000005,5,1,2,1,0,23500000.0,144410.98752534873,0.0,0,2019,4,1943.0,1,1,0
5177,47.5,Other,0.0,0.0,0,0,0,1,0,2000000.0,42105.26315789473,0.0,0,2019,4,2019.0,1,0,0
5179,52.15,work,103.0,358.07,0,0,0,0,1,61500000.0,171754.12628815597,0.0,0,2019,4,1916.0,1,1,3
5181,6.87,Address,84.0,65.14,2,2,1,1,1,14000000.0,214921.70709241636,0.0,0,2019,4,1935.0,3,1,0
5182,13.19,Address,74.0,61.99,3,2,2,1,1,4000000.0,64526.53653815131,0.0,0,2019,4,1945.0,1,1,0
5183,10.57,Address,95.0,49.13,1,1,1,1,1,4400000.0,89558.31467535114,0.0,0,2019,4,1924.0,2,1,0
5217,45.75,Address,55.0,76.89,4,2,2,1,0,14800000.0,192482.7675900637,0.0,0,2019,4,1964.0,2,1,0
5219,0.54,Quotient,82.0,38.1,0,0,0,1,1,2850000.0,74803.14960629921,38.1,2850000,2020,1,1938.0,0,0,1
5221,32.75,Quotient,63.33333333333334,104.03,6,3,3,1,0,18000000.0,173027.01143900794,0.0,0,2019,4,1955.666666666667,3,1,0
5222,4.0,Address,58.0,10.12,2,1,1,1,0,2200000.0,217391.30434782608,0.0,0,2020,1,1962.0,1,1,0
5292,155.0,Quotient,71.0,760.93,0,0,0,0,0,208000000.0,273349.71679392323,0.0,0,2019,4,1948.0,2,6,0
5293,0.38,Other,96.0,34.93,0,0,0,1,1,3300000.0,94474.66361294016,0.0,3300000,2020,1,1924.0,0,0,1
5294,50.65,Other,96.0,341.4600000000001,2,2,3,1,1,136000000.0,398289.69718268607,0.0,0,2019,4,1923.0,1,1,1
5295,10.93,Quotient,99.0,150.26999999999995,2,1,1,1,1,33500000.0,222932.05563319358,0.0,0,2019,4,1920.0,2,2,1
5296,22.25,Address,60.0,64.66,2,1,1,1,0,13200000.0,204144.75719146305,0.0,0,2020,1,1960.0,1,1,0
5297,14.12,Address,82.0,219.33,4,2,2,1,1,45500000.0,207449.9612456117,0.0,3500000,2019,4,1937.0,1,1,1
5329,36.3,Address,107.0,451.26,0,0,0,0,0,226880000.0,502770.0217169703,112.68,11400000,2019,3,1912.0,2,1,3
5331,8.17,Address,69.0,33.64,3,2,2,1,1,690000.0,20511.29607609988,0.0,0,2019,4,1950.0,1,1,0
5332,2.57,Quotient,81.0,33.59,0,0,0,1,1,2380000.0,70854.42095861862,33.59,2380000,2019,4,1938.0,0,0,1
5336,33.02,Address,107.0,279.97,3,2,2,1,1,58360000.0,208450.90545415576,70.46,0,2019,4,1912.0,1,1,2
5379,6.12,Quotient,94.0,42.29,1,1,1,1,1,15880000.0,375502.48285646725,0.0,0,2019,4,1925.0,3,1,0
5392,28.75,Address,62.325,80.71,3,2,1,1,0,14400000.0,178416.55309131462,0.0,0,2020,1,1957.675,1,1,0
5444,3.45,Quotient,78.0,40.65,1,1,1,1,1,9000000.0,221402.21402214022,0.0,0,2020,1,1942.0,6,1,0
5446,21.0,Address,79.0,120.27,3,2,2,1,0,22380000.0,186081.31703666755,0.0,0,2019,4,1940.0,1,1,0
