Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
4362,37.84,Quotient,103.0,604.55,1,2,5,1,1,273760000.0,452832.6854685304,92.07,10000000,2019,4,1916.0,1,1,3
4363,15.19,Quotient,76.375,124.47,3,1,2,1,1,16000000.0,128545.03093114807,0.0,0,2019,4,1942.625,1,1,0
4364,55.0,Other,0.0,0.0,0,0,0,1,0,5486164.0,99748.43636363637,0.0,0,2020,1,2020.0,1,0,0
4365,24.93,Address,74.0,129.09,3,2,2,1,1,25700000.0,199085.90905569762,0.0,0,2019,4,1945.0,1,2,0
4366,13.92,Address,96.0,70.86,1,2,1,1,1,23000000.0,324583.68614168785,0.0,0,2019,4,1923.0,1,2,0
4367,30.02,Address,69.0,114.48,4,2,1,1,0,18200000.0,158979.73445143257,0.0,0,2019,4,1950.0,14,1,0
4368,34.35,Address,108.0,165.12,3,2,2,1,0,46280000.0,280281.007751938,26.06,4000000,2019,4,1911.0,1,1,2
4369,7.17,Address,98.0,44.4,1,1,1,1,1,13680000.0,308108.1081081081,0.0,0,2019,4,1921.0,1,1,0
4370,11.94,Quotient,97.0,61.69,2,2,1,1,1,15300000.0,248014.26487275085,0.0,1800000,2019,4,1922.0,2,1,1
4528,61.4,Address,105.0,529.31,4,2,4,1,1,165880000.0,313389.1292437325,88.8,0,2019,4,1914.0,1,1,3
4529,20.29,Address,108.0,177.0,3,2,2,1,1,53600000.0,302824.8587570622,45.42,3100000,2019,4,1911.0,4,1,1
4530,20.16,Address,108.0,130.75,3,2,2,1,1,45000000.0,344168.2600382409,0.0,0,2019,4,1911.0,4,1,0
4531,20.16,Address,108.0,176.17,3,2,2,1,1,48200000.0,273599.36425043986,45.42,2900000,2019,4,1911.0,4,1,1
4532,24.62,Quotient,0.0,306.05,0,0,0,0,0,125000000.0,408429.99509884,0.0,0,2019,4,2019.0,1,2,0
4533,21.85,Quotient,97.0,215.36,4,2,3,1,1,51680000.0,239970.28231797923,0.0,0,2019,4,1922.0,4,1,0
4534,49.18,Address,84.0,167.66,4,2,2,1,1,40000000.0,238578.07467493735,0.0,0,2019,4,1935.0,2,1,2
4535,2.04,Quotient,80.0,16.9,0,0,0,1,1,1850000.0,109467.45562130178,16.9,1850000,2019,4,1939.0,0,0,1
4556,25.93,Address,72.0,127.3,3,2,2,1,0,33000000.0,259230.16496465047,0.0,0,2019,4,1947.0,1,1,0
4557,45.5,Address,101.0,266.96000000000004,5,2,3,1,1,56200000.0,210518.42972729995,10.41,6000000,2019,4,1918.0,1,1,3
4581,0.52,Address,92.0,1.74,0,0,0,1,1,1450000.0,833333.3333333335,1.74,1450000,2019,4,1927.0,0,0,1
4582,7.25,Quotient,97.0,85.42,1,1,1,1,1,25000000.0,292671.5055022243,0.0,0,2019,4,1922.0,4,1,1
4583,5.74,Quotient,85.0,51.90000000000001,1,1,1,1,1,14300000.0,275529.86512524076,0.0,0,2019,4,1934.0,1,1,0
